name,episode,link,pic,season,genre,rank
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,https://cdn.myanimelist.net/images/anime/1807/102419.jpg,OVA ONA SPECIAL,Action Historical Drama Romance Martial Arts Samurai Shounen,40
Vinland Saga,24,https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,Summer 2019,Action Adventure Historical Drama Seinen,41
Mushishi Zoku Shou,10,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://cdn.myanimelist.net/images/anime/13/58533.jpg,Spring 2014,Adventure Slice of Life Mystery Historical Supernatural Fantasy Seinen,42
Code Geass: Hangyaku no Lelouch,25,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,https://cdn.myanimelist.net/images/anime/5/50331.jpg,Fall 2006,Action Military Sci-Fi Super Power Drama Mecha School,43
Made in Abyss,13,https://myanimelist.net/anime/34599/Made_in_Abyss,https://cdn.myanimelist.net/images/anime/6/86733.jpg,Summer 2017,Sci-Fi Adventure Mystery Drama Fantasy,44
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,1,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,https://cdn.myanimelist.net/images/anime/1502/110723.jpg,OVA ONA SPECIAL,Sci-Fi Adventure Mystery Drama Fantasy,45
Great Teacher Onizuka,43,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,https://cdn.myanimelist.net/images/anime/13/11460.jpg,Summer 1999,Slice of Life Comedy Drama School Shounen,46
Mononoke Hime,1,https://myanimelist.net/anime/164/Mononoke_Hime,https://cdn.myanimelist.net/images/anime/7/75919.jpg,OVA ONA SPECIAL,Action Adventure Fantasy,47
Shigatsu wa Kimi no Uso,22,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,https://cdn.myanimelist.net/images/anime/3/67177.jpg,Fall 2014,Music Drama Romance School Shounen,48
Mushishi,26,https://myanimelist.net/anime/457/Mushishi,https://cdn.myanimelist.net/images/anime/2/73862.jpg,Fall 2005,Adventure Slice of Life Mystery Historical Supernatural Fantasy Seinen,49
Ashita no Joe 2,47,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,https://cdn.myanimelist.net/images/anime/3/45028.jpg,Fall 1980,Action Drama Shounen Slice of Life Sports,50
Haikyuu!! Second Season,25,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,https://cdn.myanimelist.net/images/anime/9/76662.jpg,Fall 2015,Comedy Sports Drama School Shounen,51
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,12,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/images/anime/1764/106659.jpg,Spring 2020,Comedy Psychological Romance School Seinen,52
