name,episode,link,pic,season,genre,rank
Fullmetal Alchemist,51,https://myanimelist.net/anime/121/Fullmetal_Alchemist,https://cdn.myanimelist.net/images/anime/10/75815.jpg,Fall 2003,Action Adventure Comedy Drama Fantasy Magic Military Shounen,373
Boku no Hero Academia 4th Season,25,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,https://cdn.myanimelist.net/images/anime/1412/107914.jpg,Fall 2019,Action Comedy SuperPower School Shounen,549
Highschool of the Dead,12,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,https://cdn.myanimelist.net/images/anime/11/78311.jpg,Summer 2010,Action Horror Supernatural Ecchi Shounen,3308
Darling in the FranXX,24,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,https://cdn.myanimelist.net/images/anime/1614/90408.jpg,Winter 2018,Action Drama Mecha Romance Sci-Fi,2538
Fate/Zero,13,https://myanimelist.net/anime/10087/Fate_Zero,https://cdn.myanimelist.net/images/anime/2/73249.jpg,Fall 2011,Action Supernatural Magic Fantasy,222
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,13,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,https://cdn.myanimelist.net/images/anime/2/70187.jpg,Spring 2015,Action Adventure Comedy Romance Fantasy,1336
One Punch Man 2nd Season,12,https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season,https://cdn.myanimelist.net/images/anime/1805/99571.jpg,Spring 2019,Action Sci-Fi Comedy Parody SuperPower Supernatural,1837
Durarara!!,24,https://myanimelist.net/anime/6746/Durarara,https://cdn.myanimelist.net/images/anime/10/71772.jpg,Winter 2010,Action Mystery Supernatural,372
Overlord,13,https://myanimelist.net/anime/29803/Overlord,https://cdn.myanimelist.net/images/anime/7/88019.jpg,Summer 2015,Action Adventure Fantasy Game Magic Supernatural,634
JoJo no Kimyou na Bouken (TV),26,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV,https://cdn.myanimelist.net/images/anime/3/40409.jpg,Fall 2012,Action Adventure Supernatural Vampire Shounen,590
Noragami Aragoto,13,https://myanimelist.net/anime/30503/Noragami_Aragoto,https://cdn.myanimelist.net/images/anime/1689/94850.jpg,Fall 2015,Action Adventure Comedy Supernatural Shounen,323
Tate no Yuusha no Nariagari,25,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,https://cdn.myanimelist.net/images/anime/1490/101365.jpg,Winter 2019,Action Adventure Drama Fantasy,537
Black Clover,170,https://myanimelist.net/anime/34572/Black_Clover,https://cdn.myanimelist.net/images/anime/2/88336.jpg,Fall 2017,Action Comedy Magic Fantasy Shounen,488
